Time	TH	ErrorTH	H	HD=0	HD=1	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba
0.0000	0.6852	0.0007	4.9994	0.5058	0.4942	A -- B -- C -- D	0.030634	0.000242	A -- C	0.031063	0.000245	A	0.030588	0.000243	A -- B	0.030658	0.000242	A -- B -- T -- C	0.031003	0.000244	A -- B -- T -- D	0.030406	0.000241	A -- B -- D	0.030409	0.000241	A -- C -- D	0.031293	0.000246	A -- B -- T	0.030697	0.000243	A -- D	0.031084	0.000245	A -- B -- T -- C -- D	0.030704	0.000242	A -- B -- C	0.031011	0.000244	A -- T -- D	0.031134	0.000245	A -- T	0.030882	0.000244	A -- T -- C -- D	0.031441	0.000246	A -- T -- C	0.031148	0.000245	B -- T	0.030952	0.000243	<nil>	0.033300	0.000251	T -- C -- D	0.030604	0.000240	B -- C	0.031328	0.000244	C -- D	0.033861	0.000253	T	0.030019	0.000238	B -- D	0.031228	0.000244	B -- T -- D	0.031360	0.000244	D	0.033409	0.000251	B -- T -- C	0.031348	0.000244	T -- D	0.030297	0.000239	B	0.031081	0.000243	B -- C -- D	0.031715	0.000246	B -- T -- C -- D	0.031642	0.000245	C	0.033437	0.000251	T -- C	0.030262	0.000239
0.0100	0.6708	0.0007	4.9948	0.5144	0.4856	A -- B -- C -- D	0.029745	0.000239	A -- C	0.030736	0.000243	A	0.029697	0.000239	A -- B	0.029765	0.000239	A -- B -- T -- C	0.030722	0.000243	A -- B -- T -- D	0.028935	0.000236	A -- B -- D	0.028956	0.000236	A -- C -- D	0.031592	0.000247	A -- B -- T	0.029769	0.000239	A -- D	0.030747	0.000244	A -- B -- T -- C -- D	0.029801	0.000239	A -- B -- C	0.030644	0.000242	A -- T -- D	0.031084	0.000245	A -- T	0.030238	0.000241	A -- T -- C -- D	0.032066	0.000248	A -- T -- C	0.031136	0.000245	B -- T	0.030318	0.000240	<nil>	0.036738	0.000263	T -- C -- D	0.029183	0.000235	B -- C	0.031300	0.000244	C -- D	0.038787	0.000270	T	0.027473	0.000228	B -- D	0.031129	0.000244	B -- T -- D	0.031299	0.000244	D	0.037597	0.000266	B -- T -- C	0.031333	0.000244	T -- D	0.028343	0.000231	B	0.030459	0.000241	B -- C -- D	0.032322	0.000248	B -- T -- C -- D	0.032134	0.000247	T -- C	0.028291	0.000231	C	0.037659	0.000266
0.0200	0.6569	0.0007	4.9868	0.5227	0.4773	A -- B -- C -- D	0.028870	0.000235	A -- C	0.030406	0.000242	A	0.028817	0.000236	A -- B	0.028898	0.000235	A -- B -- T -- C	0.030428	0.000241	A -- B -- T -- D	0.027580	0.000230	A -- B -- D	0.027575	0.000230	A -- C -- D	0.031899	0.000248	A -- B -- T	0.028842	0.000235	A -- D	0.030439	0.000242	A -- B -- C	0.030282	0.000241	A -- B -- T -- C -- D	0.028956	0.000236	A -- T -- C -- D	0.032650	0.000251	A -- T	0.029607	0.000239	A -- T -- D	0.030996	0.000244	A -- T -- C	0.031083	0.000245	B -- T	0.029704	0.000238	<nil>	0.039813	0.000274	T -- C -- D	0.027892	0.000229	B -- C	0.031280	0.000244	C -- D	0.043739	0.000286	T	0.025244	0.000219	B -- D	0.030973	0.000243	B -- T -- D	0.031187	0.000244	D	0.041541	0.000279	B -- T -- C	0.031268	0.000244	T -- D	0.026592	0.000224	B	0.029811	0.000238	B -- C -- D	0.032826	0.000250	B -- T -- C -- D	0.032645	0.000249	T -- C	0.026539	0.000224	C	0.041619	0.000280
0.0300	0.6434	0.0007	4.9760	0.5307	0.4693	A -- C	0.030110	0.000241	A	0.027961	0.000233	A -- B	0.028017	0.000232	A -- B -- T -- C	0.030147	0.000240	A -- B -- T -- D	0.026272	0.000225	A -- B -- D	0.026253	0.000225	A -- B -- C -- D	0.028043	0.000232	A -- C -- D	0.032187	0.000249	A -- B -- T	0.027985	0.000232	A -- D	0.030102	0.000241	A -- B -- C	0.029945	0.000240	A -- B -- T -- C -- D	0.028139	0.000232	A -- T	0.028973	0.000236	A -- T -- D	0.030931	0.000244	A -- T -- C	0.030988	0.000244	C	0.045446	0.000292	A -- T -- C -- D	0.033217	0.000253	T -- C	0.024931	0.000217	<nil>	0.042625	0.000283	T -- C -- D	0.026690	0.000224	B -- C	0.031213	0.000244	C -- D	0.048656	0.000302	T	0.023227	0.000210	B -- T	0.029089	0.000236	B -- D	0.030799	0.000242	B -- T -- D	0.030988	0.000243	D	0.045330	0.000292	B -- T -- C	0.031186	0.000244	T -- D	0.025002	0.000217	B	0.029175	0.000236	B -- C -- D	0.033253	0.000252	B -- T -- C -- D	0.033118	0.000251
0.0400	0.6305	0.0007	4.9629	0.5386	0.4614	A -- C	0.029775	0.000240	A	0.027138	0.000229	A -- C -- D	0.032499	0.000250	A -- B	0.027195	0.000229	A -- B -- T -- C	0.029789	0.000239	A -- B -- T -- D	0.025019	0.000220	A -- B -- D	0.025035	0.000220	A -- B -- C -- D	0.027213	0.000229	A -- B -- T	0.027155	0.000228	A -- D	0.029747	0.000240	A -- B -- C	0.029652	0.000238	A -- B -- T -- C -- D	0.027362	0.000229	A -- T -- C	0.030930	0.000244	A -- T	0.028353	0.000234	A -- T -- D	0.030852	0.000244	C	0.049061	0.000303	T -- C -- D	0.025656	0.000220	<nil>	0.045104	0.000291	A -- T -- C -- D	0.033703	0.000254	T -- C	0.023487	0.000211	B -- C	0.031156	0.000244	C -- D	0.053531	0.000316	T	0.021483	0.000202	B -- T	0.028476	0.000233	B -- D	0.030554	0.000241	B -- T -- D	0.030793	0.000242	B -- T -- C -- D	0.033552	0.000253	D	0.048965	0.000303	B -- T -- C	0.031082	0.000243	T -- D	0.023554	0.000211	B	0.028531	0.000234	B -- C -- D	0.033600	0.000253
0.0500	0.6180	0.0007	4.9480	0.5463	0.4537	A -- C	0.029460	0.000239	A	0.026328	0.000226	A -- C -- D	0.032745	0.000251	A -- B	0.026379	0.000225	A -- B -- T -- C	0.029422	0.000238	A -- B -- T -- D	0.023863	0.000215	A -- B -- D	0.023843	0.000214	A -- B -- C -- D	0.026451	0.000226	A -- B -- T	0.026342	0.000225	A -- D	0.029423	0.000238	A -- B -- C	0.029331	0.000237	A -- B -- T -- C -- D	0.026598	0.000226	A -- T -- C	0.030792	0.000244	A -- T	0.027737	0.000231	A -- T -- D	0.030753	0.000243	C	0.052531	0.000313	<nil>	0.047372	0.000298	A -- T -- C -- D	0.034251	0.000256	T -- C	0.022213	0.000205	B -- C	0.031077	0.000243	C -- D	0.058407	0.000329	T	0.019921	0.000194	T -- C -- D	0.024707	0.000216	B -- T	0.027848	0.000231	B -- D	0.030309	0.000241	B -- T -- C -- D	0.033906	0.000254	D	0.052453	0.000313	B -- T -- C	0.030978	0.000243	T -- D	0.022229	0.000205	B	0.027874	0.000231	B -- T -- D	0.030518	0.000241	B -- C -- D	0.033939	0.000254
0.0600	0.6059	0.0007	4.9316	0.5539	0.4461	A	0.025556	0.000223	A -- C	0.029126	0.000237	A -- C -- D	0.033018	0.000252	A -- B -- T -- C	0.029088	0.000236	A -- B	0.025545	0.000222	A -- B -- T -- D	0.022786	0.000210	A -- B -- D	0.022708	0.000209	A -- B -- C -- D	0.025717	0.000222	A -- D	0.029099	0.000237	A -- B -- C	0.028957	0.000236	A -- B -- T	0.025564	0.000222	A -- B -- T -- C -- D	0.025863	0.000223	A -- T -- C	0.030653	0.000243	A -- T	0.027095	0.000229	A -- T -- D	0.030625	0.000243	B -- T -- C -- D	0.034235	0.000255	<nil>	0.049431	0.000304	A -- T -- C -- D	0.034751	0.000258	T -- C	0.021050	0.000200	C	0.055888	0.000323	B -- C	0.031010	0.000243	C -- D	0.063260	0.000342	T -- C -- D	0.023846	0.000212	B -- T	0.027222	0.000228	B -- D	0.030072	0.000240	D	0.055794	0.000322	B -- T -- C	0.030864	0.000243	T -- D	0.021024	0.000200	B -- T -- D	0.030140	0.000240	B	0.027254	0.000228	B -- C -- D	0.034219	0.000255	T	0.018542	0.000188
0.0700	0.5942	0.0007	4.9139	0.5611	0.4389	A	0.024795	0.000219	A -- C	0.028798	0.000236	A -- C -- D	0.033273	0.000253	A -- B -- T -- C	0.028749	0.000235	A -- B	0.024751	0.000218	A -- B -- T -- D	0.021767	0.000205	A -- B -- D	0.021653	0.000205	A -- B -- C -- D	0.025045	0.000220	A -- D	0.028777	0.000236	A -- B -- C	0.028612	0.000234	A -- B -- T	0.024812	0.000219	A -- B -- T -- C -- D	0.025110	0.000220	A -- T -- C	0.030526	0.000243	A -- T	0.026483	0.000226	A -- T -- D	0.030492	0.000242	T	0.017325	0.000182	T -- C -- D	0.023023	0.000209	<nil>	0.051310	0.000310	B -- C	0.030886	0.000243	C -- D	0.068183	0.000354	A -- T -- C -- D	0.035248	0.000260	T -- C	0.019990	0.000195	C	0.059092	0.000331	B -- T	0.026604	0.000226	B -- D	0.029730	0.000238	D	0.058904	0.000331	B -- T -- C	0.030717	0.000242	T -- D	0.019931	0.000195	B -- T -- D	0.029828	0.000239	B	0.026630	0.000226	B -- C -- D	0.034424	0.000256	B -- T -- C -- D	0.034534	0.000256
0.0800	0.5828	0.0007	4.8951	0.5683	0.4317	A	0.024061	0.000216	A -- C	0.028482	0.000235	A -- C -- D	0.033511	0.000254	A -- B -- T -- C	0.028420	0.000234	A -- B	0.023972	0.000215	A -- B -- T -- D	0.020820	0.000201	A -- B -- D	0.020660	0.000200	A -- B -- C -- D	0.024336	0.000217	A -- D	0.028460	0.000235	A -- B -- C	0.028261	0.000233	A -- B -- T	0.024047	0.000215	A -- B -- T -- C -- D	0.024450	0.000217	A -- T -- C	0.030334	0.000242	A -- T	0.025889	0.000224	A -- T -- D	0.030344	0.000242	B -- T -- C -- D	0.034739	0.000257	B -- T	0.025995	0.000223	T -- C -- D	0.022333	0.000206	<nil>	0.053017	0.000315	A -- T -- C -- D	0.035699	0.000262	T -- C	0.019046	0.000190	C -- D	0.073013	0.000366	B -- C	0.030692	0.000242	B -- D	0.029341	0.000237	C	0.062244	0.000340	D	0.061963	0.000339	B -- T -- C	0.030607	0.000242	T -- D	0.018894	0.000189	B -- T -- D	0.029490	0.000237	B	0.026030	0.000223	B -- C -- D	0.034664	0.000257	T	0.016187	0.000175
0.0900	0.5717	0.0007	4.8755	0.5752	0.4248	A	0.023347	0.000213	A -- C	0.028149	0.000233	A -- C -- D	0.033741	0.000255	A -- B -- T -- C	0.028112	0.000232	A -- B	0.023252	0.000212	A -- B -- T -- D	0.019891	0.000196	A -- B -- D	0.019759	0.000196	A -- B -- C -- D	0.023649	0.000214	A -- D	0.028122	0.000233	A -- B -- C	0.027910	0.000232	A -- B -- T	0.023336	0.000212	A -- B -- T -- C -- D	0.023829	0.000214	A -- T -- C	0.030136	0.000241	A -- T	0.025276	0.000221	A -- T -- D	0.030175	0.000241	B -- T -- C -- D	0.034892	0.000258	T -- C -- D	0.021700	0.000203	<nil>	0.054507	0.000319	C	0.065263	0.000347	A -- T -- C -- D	0.036151	0.000263	T -- C	0.018136	0.000186	C -- D	0.077878	0.000377	B -- C	0.030511	0.000241	B -- T	0.025372	0.000221	B -- D	0.028910	0.000235	D	0.064904	0.000346	B -- T -- C	0.030471	0.000241	T -- D	0.017998	0.000185	B -- T -- D	0.029131	0.000236	B	0.025481	0.000221	B -- C -- D	0.034841	0.000257	T	0.015169	0.000170
