Time	TH	ErrorTH	H	HD=0	HD=1	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba
0.0000	0.6833	0.0007	4.9988	0.5151	0.4849	A -- B -- D	0.029830	0.000239	A -- B -- C	0.030356	0.000241	A -- B -- T -- C	0.030429	0.000241	A -- C -- D	0.030733	0.000243	A	0.030097	0.000241	A -- D	0.030440	0.000242	A -- C	0.030418	0.000242	A -- B -- T	0.030070	0.000240	A -- B -- T -- C -- D	0.030154	0.000240	A -- B	0.030111	0.000240	A -- B -- C -- D	0.030131	0.000240	A -- B -- T -- D	0.029846	0.000239	A -- T -- D	0.030556	0.000243	A -- T -- C -- D	0.030866	0.000244	A -- T -- C	0.030568	0.000243	A -- T	0.030277	0.000241	B -- D	0.031880	0.000246	B -- T -- C	0.031970	0.000247	D	0.034136	0.000254	T -- C	0.030787	0.000241	B -- T -- D	0.031889	0.000246	C	0.034186	0.000254	B -- C -- D	0.032197	0.000248	B -- C	0.031866	0.000246	T	0.030596	0.000240	T -- C -- D	0.031151	0.000242	T -- D	0.030844	0.000241	B	0.031624	0.000245	C -- D	0.034489	0.000255	B -- T	0.031555	0.000245	<nil>	0.033754	0.000252	B -- T -- C -- D	0.032192	0.000248
0.0100	0.6686	0.0007	4.9937	0.5234	0.4766	A -- B -- D	0.028314	0.000233	A -- B -- C	0.030030	0.000240	A -- B -- T -- C	0.030159	0.000240	A -- C -- D	0.031077	0.000245	A	0.029189	0.000237	A -- D	0.030158	0.000241	A -- C	0.030101	0.000241	A -- B	0.029243	0.000237	A -- B -- C -- D	0.029212	0.000237	A -- B -- T -- C -- D	0.029245	0.000237	A -- B -- T -- D	0.028396	0.000233	A -- B -- T	0.029192	0.000237	A -- T -- D	0.030563	0.000243	A -- T -- C -- D	0.031456	0.000246	A -- T -- C	0.030558	0.000243	A -- T	0.029684	0.000239	B -- C	0.031772	0.000246	B -- C -- D	0.032749	0.000250	B -- T -- C	0.031864	0.000246	B -- T -- D	0.031777	0.000246	C	0.038448	0.000269	D	0.038451	0.000269	T	0.028041	0.000230	T -- C -- D	0.029690	0.000236	T -- C	0.028801	0.000233	T -- D	0.028798	0.000233	B -- D	0.031795	0.000246	B	0.030919	0.000243	C -- D	0.039528	0.000272	B -- T	0.030860	0.000243	<nil>	0.037168	0.000265	B -- T -- C -- D	0.032763	0.000250
0.0200	0.6546	0.0007	4.9852	0.5315	0.4685	A -- B -- D	0.026971	0.000228	A -- B -- C	0.029725	0.000239	A -- C -- D	0.031384	0.000246	A	0.028349	0.000234	A -- D	0.029851	0.000240	A -- C	0.029789	0.000240	A -- B	0.028369	0.000233	A -- B -- C -- D	0.028313	0.000233	A -- B -- T -- C	0.029877	0.000239	A -- B -- T -- D	0.027041	0.000228	A -- B -- T -- C -- D	0.028402	0.000234	A -- B -- T	0.028325	0.000233	A -- T -- C -- D	0.032014	0.000248	A -- T -- C	0.030509	0.000242	A -- T -- D	0.030537	0.000243	A -- T	0.029086	0.000237	B -- C	0.031639	0.000246	B -- C -- D	0.033267	0.000252	B -- T -- C	0.031764	0.000246	B -- T -- D	0.031636	0.000246	C	0.042461	0.000282	D	0.042535	0.000283	T	0.025769	0.000221	T -- C -- D	0.028408	0.000231	T -- C	0.027013	0.000226	T -- D	0.026979	0.000226	B -- D	0.031558	0.000245	B	0.030286	0.000240	C -- D	0.044506	0.000289	B -- T	0.030170	0.000240	<nil>	0.040243	0.000275	B -- T -- C -- D	0.033224	0.000251
0.0300	0.6414	0.0007	4.9738	0.5393	0.4607	A -- B -- D	0.025718	0.000222	A -- B -- C	0.029395	0.000237	A -- C -- D	0.031666	0.000247	A	0.027543	0.000231	A -- B	0.027466	0.000230	A -- D	0.029524	0.000239	A -- C	0.029499	0.000239	A -- B -- C -- D	0.027503	0.000230	A -- B -- T -- D	0.025833	0.000223	A -- B -- T -- C	0.029515	0.000238	A -- B -- T -- C -- D	0.027629	0.000230	A -- B -- T	0.027442	0.000230	A -- T -- D	0.030448	0.000242	A -- T	0.028483	0.000234	A -- T -- C	0.030447	0.000242	B -- T -- C -- D	0.033563	0.000253	B -- C	0.031567	0.000245	B -- C -- D	0.033607	0.000253	B -- T -- C	0.031780	0.000246	B -- T -- D	0.031342	0.000244	C	0.046278	0.000295	D	0.046382	0.000295	T	0.023731	0.000212	T -- C -- D	0.027230	0.000227	A -- T -- C -- D	0.032540	0.000250	T -- C	0.025352	0.000219	T -- D	0.025386	0.000219	B -- D	0.031302	0.000244	B	0.029625	0.000238	C -- D	0.049557	0.000304	B -- T	0.029573	0.000238	<nil>	0.043073	0.000285
0.0400	0.6285	0.0007	4.9601	0.5472	0.4528	A -- B -- D	0.024471	0.000217	A -- B -- C	0.029013	0.000236	A -- C -- D	0.031943	0.000248	A	0.026719	0.000227	A -- B	0.026640	0.000226	A -- D	0.029193	0.000237	A -- C	0.029217	0.000238	A -- B -- C -- D	0.026775	0.000227	A -- B -- T -- C	0.029120	0.000236	A -- B -- T -- C -- D	0.026841	0.000227	A -- B -- T	0.026613	0.000226	A -- B -- T -- D	0.024624	0.000218	A -- T -- D	0.030348	0.000242	A -- T	0.027848	0.000232	A -- T -- C	0.030345	0.000242	T -- C -- D	0.026092	0.000222	B -- C	0.031537	0.000245	B -- C -- D	0.033889	0.000254	B -- T -- C	0.031701	0.000246	B -- T -- D	0.031092	0.000244	C	0.049901	0.000305	D	0.049987	0.000306	T	0.021962	0.000204	A -- T -- C -- D	0.033093	0.000252	T -- C	0.023900	0.000213	T -- D	0.023927	0.000213	B	0.028881	0.000235	C -- D	0.054633	0.000319	B -- T -- C -- D	0.033967	0.000254	B -- D	0.031116	0.000244	B -- T	0.028895	0.000235	<nil>	0.045722	0.000293
0.0500	0.6158	0.0007	4.9447	0.5546	0.4454	A -- B -- D	0.023351	0.000212	A -- B -- C	0.028676	0.000235	A -- C -- D	0.032171	0.000249	A	0.025906	0.000224	A -- B	0.025895	0.000223	A -- D	0.028877	0.000236	A -- C	0.028916	0.000236	A -- B -- C -- D	0.026019	0.000224	A -- B -- T -- C	0.028797	0.000235	A -- B -- T -- C -- D	0.026092	0.000224	A -- B -- T	0.025854	0.000223	A -- B -- T -- D	0.023496	0.000213	A -- T -- D	0.030257	0.000241	A -- T	0.027206	0.000229	A -- T -- C	0.030263	0.000242	B -- T	0.028147	0.000232	B -- C -- D	0.034243	0.000255	B -- T -- C	0.031449	0.000245	B -- T -- D	0.030838	0.000243	C	0.053457	0.000316	B -- T -- C -- D	0.034353	0.000256	D	0.053415	0.000316	B -- C	0.031402	0.000245	T	0.020437	0.000197	A -- T -- C -- D	0.033605	0.000254	T -- C	0.022625	0.000207	T -- D	0.022533	0.000207	B	0.028123	0.000232	C -- D	0.059573	0.000332	B -- D	0.030844	0.000243	<nil>	0.048073	0.000300	T -- C -- D	0.025105	0.000218
0.0600	0.6036	0.0007	4.9278	0.5618	0.4382	A -- B -- D	0.022279	0.000207	A -- B -- C	0.028382	0.000233	A -- C -- D	0.032424	0.000250	A	0.025113	0.000221	A -- B	0.025103	0.000220	A -- D	0.028564	0.000235	A -- C	0.028598	0.000235	A -- B -- C -- D	0.025304	0.000221	A -- B -- T -- C	0.028505	0.000234	A -- B -- T -- C -- D	0.025394	0.000221	A -- B -- T -- D	0.022466	0.000208	A -- T -- D	0.030178	0.000241	A -- B -- T	0.025067	0.000220	A -- T -- C	0.030130	0.000241	B -- T	0.027518	0.000229	T -- C -- D	0.024222	0.000214	B -- C	0.031236	0.000244	B -- C -- D	0.034585	0.000256	B -- T -- D	0.030482	0.000241	A -- T	0.026598	0.000227	C	0.056906	0.000325	B -- T -- C -- D	0.034681	0.000257	D	0.056688	0.000325	T	0.019036	0.000190	A -- T -- C -- D	0.034118	0.000256	T -- C	0.021378	0.000201	B -- T -- C	0.031200	0.000244	T -- D	0.021314	0.000201	B	0.027477	0.000229	C -- D	0.064466	0.000345	B -- D	0.030483	0.000241	<nil>	0.050110	0.000306
0.0700	0.5919	0.0007	4.9098	0.5690	0.4310	A -- B -- D	0.021233	0.000203	A -- B -- C	0.028058	0.000232	A -- C -- D	0.032676	0.000251	A	0.024373	0.000218	A -- B	0.024287	0.000216	A -- D	0.028215	0.000234	A -- C	0.028255	0.000234	A -- B -- C -- D	0.024624	0.000218	A -- B -- T -- C	0.028185	0.000233	A -- B -- T -- C -- D	0.024738	0.000218	A -- B -- T -- D	0.021449	0.000204	A -- T -- D	0.030086	0.000241	A -- B -- T	0.024281	0.000216	A -- T -- C	0.029965	0.000240	B -- T	0.026949	0.000227	T -- C -- D	0.023403	0.000210	B -- C	0.031155	0.000244	B -- C -- D	0.034863	0.000258	B -- T -- D	0.030096	0.000240	A -- T	0.026009	0.000224	C	0.060083	0.000334	B -- T -- C -- D	0.034898	0.000258	D	0.059898	0.000333	A -- T -- C -- D	0.034597	0.000258	T -- C	0.020368	0.000197	B -- T -- C	0.030992	0.000243	T -- D	0.020252	0.000196	B	0.026936	0.000227	C -- D	0.069366	0.000357	B -- D	0.030085	0.000240	T	0.017701	0.000183	<nil>	0.051924	0.000312
0.0800	0.5806	0.0007	4.8904	0.5760	0.4240	A -- B -- D	0.020275	0.000198	A -- B -- C	0.027723	0.000231	A -- C -- D	0.032894	0.000252	A	0.023674	0.000214	A -- B	0.023525	0.000213	A -- D	0.027884	0.000232	A -- C	0.027905	0.000232	A -- B -- C -- D	0.023947	0.000215	A -- B -- T -- C	0.027835	0.000231	A -- B -- T -- C -- D	0.024080	0.000215	A -- B -- T -- D	0.020450	0.000199	A -- T -- D	0.029956	0.000240	A -- B -- T	0.023513	0.000213	A -- T -- C	0.029821	0.000240	B -- T	0.026316	0.000225	T -- D	0.019308	0.000192	B -- C	0.031032	0.000243	B -- C -- D	0.035043	0.000258	B -- T -- D	0.029728	0.000238	A -- T	0.025442	0.000222	C	0.063153	0.000342	B -- T -- C -- D	0.035006	0.000258	D	0.062963	0.000342	A -- T -- C -- D	0.035063	0.000259	T -- C	0.019386	0.000192	B -- T -- C	0.030916	0.000243	B	0.026310	0.000225	C -- D	0.074412	0.000369	B -- D	0.029659	0.000238	T	0.016493	0.000177	<nil>	0.053652	0.000317	T -- C -- D	0.022634	0.000207
0.0900	0.5696	0.0007	4.8703	0.5828	0.4172	A -- B -- D	0.019398	0.000194	A -- C -- D	0.033080	0.000252	A	0.022980	0.000211	A -- B -- C	0.027367	0.000229	A -- B -- C -- D	0.023256	0.000212	A -- B	0.022837	0.000210	A -- D	0.027587	0.000231	A -- C	0.027579	0.000231	A -- B -- T -- C	0.027464	0.000230	A -- B -- T -- C -- D	0.023424	0.000213	A -- B -- T -- D	0.019525	0.000194	A -- T -- D	0.029812	0.000240	A -- B -- T	0.022820	0.000210	B -- T	0.025568	0.000221	A -- T -- C	0.029665	0.000239	T -- D	0.018426	0.000187	B -- C	0.030828	0.000242	B -- C -- D	0.035176	0.000259	B -- T -- D	0.029377	0.000237	A -- T	0.024881	0.000220	C	0.066241	0.000350	B -- T -- C -- D	0.035040	0.000258	D	0.065798	0.000349	A -- T -- C -- D	0.035547	0.000261	T -- C	0.018415	0.000187	B -- T -- C	0.030862	0.000243	B	0.025628	0.000222	C -- D	0.079382	0.000380	B -- D	0.029237	0.000237	T	0.015531	0.000172	<nil>	0.055198	0.000321	T -- C -- D	0.022074	0.000204
0.1000	0.5589	0.0007	4.8497	0.5893	0.4107	A -- B -- D	0.018532	0.000189	A -- B -- C -- D	0.022652	0.000209	A -- C -- D	0.033266	0.000253	A	0.022304	0.000208	A -- B -- C	0.027003	0.000228	A -- B	0.022123	0.000207	A -- D	0.027272	0.000230	A -- C	0.027264	0.000230	A -- B -- T -- C	0.027097	0.000228	A -- B -- T -- C -- D	0.022843	0.000210	A -- B -- T -- D	0.018689	0.000190	A -- T -- D	0.029659	0.000239	A -- B -- T	0.022158	0.000207	B -- T	0.024903	0.000219	A -- T -- C	0.029530	0.000239	T -- D	0.017531	0.000183	B -- C	0.030591	0.000242	B -- C -- D	0.035228	0.000259	B -- T -- D	0.028982	0.000236	A -- T	0.024261	0.000217	C	0.069047	0.000357	B -- T -- C -- D	0.035136	0.000259	D	0.068640	0.000356	A -- T -- C -- D	0.036007	0.000263	T -- C	0.017637	0.000183	B -- T -- C	0.030686	0.000242	B	0.025011	0.000219	C -- D	0.084324	0.000391	B -- D	0.028881	0.000235	T	0.014646	0.000167	<nil>	0.056594	0.000325	T -- C -- D	0.021501	0.000202
0.1100	0.5484	0.0007	4.8279	0.5957	0.4043	A -- B -- D	0.017639	0.000185	A -- B -- C -- D	0.022080	0.000207	A -- C -- D	0.033460	0.000254	A	0.021640	0.000205	A -- B -- C	0.026618	0.000226	A -- B	0.021397	0.000203	A -- D	0.026941	0.000228	A -- C	0.026978	0.000229	A -- B -- T -- C	0.026791	0.000227	A -- B -- T -- C -- D	0.022313	0.000208	A -- B -- T -- D	0.017850	0.000186	A -- T -- D	0.029514	0.000239	A -- B -- T	0.021521	0.000204	B -- T	0.024322	0.000216	A -- T -- C	0.029370	0.000238	T -- D	0.016667	0.000178	B -- C	0.030321	0.000241	B -- C -- D	0.035318	0.000259	B -- T -- D	0.028539	0.000234	A -- T	0.023662	0.000214	C	0.071896	0.000363	B -- T -- C -- D	0.035283	0.000259	D	0.071351	0.000362	A -- T -- C -- D	0.036486	0.000264	T -- C	0.016950	0.000179	B -- T -- C	0.030394	0.000241	B	0.024452	0.000217	C -- D	0.089235	0.000401	B -- D	0.028574	0.000234	T	0.013734	0.000162	<nil>	0.057897	0.000329	T -- C -- D	0.020806	0.000199
0.1200	0.5381	0.0007	4.8055	0.6021	0.3979	A -- B -- D	0.016828	0.000181	A -- B -- C -- D	0.021491	0.000204	A -- C -- D	0.033653	0.000254	A	0.020982	0.000202	A -- B -- C	0.026214	0.000225	A -- B	0.020728	0.000200	A -- D	0.026598	0.000227	A -- C	0.026686	0.000227	A -- B -- T -- C	0.026471	0.000226	A -- B -- T -- C -- D	0.021788	0.000205	A -- B -- T -- D	0.017084	0.000182	A -- T -- D	0.029324	0.000238	A -- B -- T	0.020845	0.000201	B -- T	0.023820	0.000214	A -- T -- C	0.029232	0.000238	T -- C -- D	0.020133	0.000195	B -- C -- D	0.035446	0.000260	B -- T -- C -- D	0.035420	0.000260	D	0.074020	0.000368	C	0.074658	0.000370	B -- C	0.030072	0.000240	C -- D	0.094157	0.000411	A -- T	0.023092	0.000212	B -- T -- D	0.028032	0.000232	A -- T -- C -- D	0.036911	0.000266	T -- C	0.016289	0.000176	B -- T -- C	0.030102	0.000240	T -- D	0.015936	0.000174	B -- D	0.028140	0.000232	B	0.023927	0.000214	T	0.012858	0.000157	<nil>	0.059062	0.000332
0.1300	0.5282	0.0007	4.7829	0.6083	0.3917	A -- B -- D	0.016097	0.000177	A -- B -- C -- D	0.020895	0.000201	A -- C -- D	0.033823	0.000255	A	0.020358	0.000199	A -- B -- C	0.025866	0.000223	A -- B	0.020092	0.000197	A -- D	0.026257	0.000226	A -- C	0.026376	0.000226	A -- B -- T -- C	0.026144	0.000224	A -- B -- T -- C -- D	0.021219	0.000202	A -- B -- T -- D	0.016377	0.000178	A -- T -- D	0.029092	0.000237	A -- B -- T	0.020205	0.000198	B -- T	0.023266	0.000211	A -- T -- C	0.029037	0.000237	T	0.012050	0.000152	B -- C -- D	0.035501	0.000260	T -- C -- D	0.019655	0.000193	C	0.077328	0.000376	C -- D	0.099065	0.000421	B -- T -- C -- D	0.035476	0.000260	D	0.076470	0.000374	B -- C	0.029925	0.000239	A -- T	0.022539	0.000209	B -- T -- D	0.027480	0.000230	A -- T -- C -- D	0.037336	0.000267	T -- C	0.015658	0.000173	B -- T -- C	0.029894	0.000239	T -- D	0.015449	0.000172	B -- D	0.027580	0.000230	B	0.023360	0.000212	<nil>	0.060132	0.000335
0.1400	0.5185	0.0007	4.7603	0.6144	0.3856	A -- B -- D	0.015446	0.000173	A -- B -- C -- D	0.020266	0.000198	A -- C -- D	0.034018	0.000256	A	0.019756	0.000196	A -- B -- C	0.025463	0.000222	A -- B	0.019470	0.000194	A -- D	0.025940	0.000224	A -- C	0.026051	0.000225	A -- B -- T -- C	0.025785	0.000223	A -- B -- T -- C -- D	0.020669	0.000200	A -- B -- T -- D	0.015681	0.000175	A -- T -- D	0.028854	0.000236	A -- B -- T	0.019612	0.000195	B -- T	0.022602	0.000208	A -- T -- C	0.028821	0.000236	T	0.011501	0.000148	B -- C -- D	0.035469	0.000260	T -- C -- D	0.019308	0.000191	C	0.079910	0.000382	C -- D	0.103940	0.000430	B -- T -- C -- D	0.035479	0.000260	D	0.078909	0.000380	B -- C	0.029792	0.000239	A -- T	0.022005	0.000207	B -- T -- D	0.026955	0.000227	A -- T -- C -- D	0.037787	0.000269	T -- C	0.015078	0.000169	B -- T -- C	0.029717	0.000238	T -- D	0.014926	0.000169	B -- D	0.027038	0.000228	B	0.022770	0.000209	<nil>	0.060981	0.000337
