Time	TH	ErrTH	H	Prob[A--B--T]	ErrProb[A--B--T]	Prob[<nil>]	ErrProb[<nil>]	Prob[A--B--T--C]	ErrProb[A--B--T--C]	Prob[A]	ErrProb[A]	Prob[B--T--C--D]	ErrProb[B--T--C--D]	Prob[A--B]	ErrProb[A--B]	Prob[C]	ErrProb[C]	Prob[A--D]	ErrProb[A--D]	Prob[B--T]	ErrProb[B--T]	Prob[B--T--D]	ErrProb[B--T--D]	Prob[A--T]	ErrProb[A--T]	Prob[A--T--C--D]	ErrProb[A--T--C--D]	Prob[D]	ErrProb[D]	Prob[A--T--D]	ErrProb[A--T--D]	Prob[C--D]	ErrProb[C--D]	Prob[T--D]	ErrProb[T--D]	Prob[A--B--T--C--D]	ErrProb[A--B--T--C--D]	Prob[A--B--D]	ErrProb[A--B--D]	Prob[A--C--D]	ErrProb[A--C--D]	Prob[A--B--C--D]	ErrProb[A--B--C--D]	Prob[T]	ErrProb[T]	Prob[A--B--T--D]	ErrProb[A--B--T--D]	Prob[B--C]	ErrProb[B--C]	Prob[A--C]	ErrProb[A--C]	Prob[T--C]	ErrProb[T--C]	Prob[T--C--D]	ErrProb[T--C--D]	Prob[B--C--D]	ErrProb[B--C--D]	Prob[B]	ErrProb[B]	Prob[B--D]	ErrProb[B--D]	Prob[B--T--C]	ErrProb[B--T--C]	Prob[A--T--C]	ErrProb[A--T--C]	Prob[A--B--C]	ErrProb[A--B--C]	
0.0000	0.6833	0.0007	4.9988	0.030070	0.000240	0.033754	0.000252	0.030429	0.000241	0.030097	0.000241	0.032192	0.000248	0.030111	0.000240	0.034186	0.000254	0.030440	0.000242	0.031555	0.000245	0.031889	0.000246	0.030277	0.000241	0.030866	0.000244	0.034136	0.000254	0.030556	0.000243	0.034489	0.000255	0.030844	0.000241	0.030154	0.000240	0.029830	0.000239	0.030733	0.000243	0.030131	0.000240	0.030596	0.000240	0.029846	0.000239	0.031866	0.000246	0.030418	0.000242	0.030787	0.000241	0.031151	0.000242	0.032197	0.000248	0.031624	0.000245	0.031880	0.000246	0.031970	0.000247	0.030568	0.000243	0.030356	0.000241	
0.0100	0.6686	0.0007	4.9937	0.029192	0.000237	0.037168	0.000265	0.030159	0.000240	0.029189	0.000237	0.032763	0.000250	0.029243	0.000237	0.038448	0.000269	0.030158	0.000241	0.030860	0.000243	0.031777	0.000246	0.029684	0.000239	0.031456	0.000246	0.038451	0.000269	0.030563	0.000243	0.039528	0.000272	0.028798	0.000233	0.029245	0.000237	0.028314	0.000233	0.031077	0.000245	0.029212	0.000237	0.028041	0.000230	0.028396	0.000233	0.031772	0.000246	0.030101	0.000241	0.028801	0.000233	0.029690	0.000236	0.032749	0.000250	0.030919	0.000243	0.031795	0.000246	0.031864	0.000246	0.030558	0.000243	0.030030	0.000240	
0.0200	0.6546	0.0007	4.9852	0.028325	0.000233	0.040243	0.000275	0.029877	0.000239	0.028349	0.000234	0.033224	0.000251	0.028369	0.000233	0.042461	0.000282	0.029851	0.000240	0.030170	0.000240	0.031636	0.000246	0.029086	0.000237	0.032014	0.000248	0.042535	0.000283	0.030537	0.000243	0.044506	0.000289	0.026979	0.000226	0.028402	0.000234	0.026971	0.000228	0.031384	0.000246	0.028313	0.000233	0.025769	0.000221	0.027041	0.000228	0.031639	0.000246	0.029789	0.000240	0.027013	0.000226	0.028408	0.000231	0.033267	0.000252	0.030286	0.000240	0.031558	0.000245	0.031764	0.000246	0.030509	0.000242	0.029725	0.000239	
0.0300	0.6414	0.0007	4.9738	0.027442	0.000230	0.043073	0.000285	0.029515	0.000238	0.027543	0.000231	0.033563	0.000253	0.027466	0.000230	0.046278	0.000295	0.029524	0.000239	0.029573	0.000238	0.031342	0.000244	0.028483	0.000234	0.032540	0.000250	0.046382	0.000295	0.030448	0.000242	0.049557	0.000304	0.025386	0.000219	0.027629	0.000230	0.025718	0.000222	0.031666	0.000247	0.027503	0.000230	0.023731	0.000212	0.025833	0.000223	0.031567	0.000245	0.029499	0.000239	0.025352	0.000219	0.027230	0.000227	0.033607	0.000253	0.029625	0.000238	0.031302	0.000244	0.031780	0.000246	0.030447	0.000242	0.029395	0.000237	
0.0400	0.6285	0.0007	4.9601	0.026613	0.000226	0.045722	0.000293	0.029120	0.000236	0.026719	0.000227	0.033967	0.000254	0.026640	0.000226	0.049901	0.000305	0.029193	0.000237	0.028895	0.000235	0.031092	0.000244	0.027848	0.000232	0.033093	0.000252	0.049987	0.000306	0.030348	0.000242	0.054633	0.000319	0.023927	0.000213	0.026841	0.000227	0.024471	0.000217	0.031943	0.000248	0.026775	0.000227	0.021962	0.000204	0.024624	0.000218	0.031537	0.000245	0.029217	0.000238	0.023900	0.000213	0.026092	0.000222	0.033889	0.000254	0.028881	0.000235	0.031116	0.000244	0.031701	0.000246	0.030345	0.000242	0.029013	0.000236	
0.0500	0.6158	0.0007	4.9447	0.025854	0.000223	0.048073	0.000300	0.028797	0.000235	0.025906	0.000224	0.034353	0.000256	0.025895	0.000223	0.053457	0.000316	0.028877	0.000236	0.028147	0.000232	0.030838	0.000243	0.027206	0.000229	0.033605	0.000254	0.053415	0.000316	0.030257	0.000241	0.059573	0.000332	0.022533	0.000207	0.026092	0.000224	0.023351	0.000212	0.032171	0.000249	0.026019	0.000224	0.020437	0.000197	0.023496	0.000213	0.031402	0.000245	0.028916	0.000236	0.022625	0.000207	0.025105	0.000218	0.034243	0.000255	0.028123	0.000232	0.030844	0.000243	0.031449	0.000245	0.030263	0.000242	0.028676	0.000235	
0.0600	0.6036	0.0007	4.9278	0.025067	0.000220	0.050110	0.000306	0.028505	0.000234	0.025113	0.000221	0.034681	0.000257	0.025103	0.000220	0.056906	0.000325	0.028564	0.000235	0.027518	0.000229	0.030482	0.000241	0.026598	0.000227	0.034118	0.000256	0.056688	0.000325	0.030178	0.000241	0.064466	0.000345	0.021314	0.000201	0.025394	0.000221	0.022279	0.000207	0.032424	0.000250	0.025304	0.000221	0.019036	0.000190	0.022466	0.000208	0.031236	0.000244	0.028598	0.000235	0.021378	0.000201	0.024222	0.000214	0.034585	0.000256	0.027477	0.000229	0.030483	0.000241	0.031200	0.000244	0.030130	0.000241	0.028382	0.000233	
0.0700	0.5919	0.0007	4.9098	0.024281	0.000216	0.051924	0.000312	0.028185	0.000233	0.024373	0.000218	0.034898	0.000258	0.024287	0.000216	0.060083	0.000334	0.028215	0.000234	0.026949	0.000227	0.030096	0.000240	0.026009	0.000224	0.034597	0.000258	0.059898	0.000333	0.030086	0.000241	0.069366	0.000357	0.020252	0.000196	0.024738	0.000218	0.021233	0.000203	0.032676	0.000251	0.024624	0.000218	0.017701	0.000183	0.021449	0.000204	0.031155	0.000244	0.028255	0.000234	0.020368	0.000197	0.023403	0.000210	0.034863	0.000258	0.026936	0.000227	0.030085	0.000240	0.030992	0.000243	0.029965	0.000240	0.028058	0.000232	
0.0800	0.5806	0.0007	4.8904	0.023513	0.000213	0.053652	0.000317	0.027835	0.000231	0.023674	0.000214	0.035006	0.000258	0.023525	0.000213	0.063153	0.000342	0.027884	0.000232	0.026316	0.000225	0.029728	0.000238	0.025442	0.000222	0.035063	0.000259	0.062963	0.000342	0.029956	0.000240	0.074412	0.000369	0.019308	0.000192	0.024080	0.000215	0.020275	0.000198	0.032894	0.000252	0.023947	0.000215	0.016493	0.000177	0.020450	0.000199	0.031032	0.000243	0.027905	0.000232	0.019386	0.000192	0.022634	0.000207	0.035043	0.000258	0.026310	0.000225	0.029659	0.000238	0.030916	0.000243	0.029821	0.000240	0.027723	0.000231	
0.0900	0.5696	0.0007	4.8703	0.022820	0.000210	0.055198	0.000321	0.027464	0.000230	0.022980	0.000211	0.035040	0.000258	0.022837	0.000210	0.066241	0.000350	0.027587	0.000231	0.025568	0.000221	0.029377	0.000237	0.024881	0.000220	0.035547	0.000261	0.065798	0.000349	0.029812	0.000240	0.079382	0.000380	0.018426	0.000187	0.023424	0.000213	0.019398	0.000194	0.033080	0.000252	0.023256	0.000212	0.015531	0.000172	0.019525	0.000194	0.030828	0.000242	0.027579	0.000231	0.018415	0.000187	0.022074	0.000204	0.035176	0.000259	0.025628	0.000222	0.029237	0.000237	0.030862	0.000243	0.029665	0.000239	0.027367	0.000229	
